name,111_5e5,111_1e7,231_5e5,231_1e7,296_5e5,296_1e7
11010N2,6.154150311,26.37772369,0.650153268,8.949795289,0.374286958,5.926876117
11020N2,6.837319256,38.71008111,0.902698303,12.90304652,0.53184567,8.720201335
11030N2,7.170958877,43.96624222,1.010681716,15.01938457,0.646084393,10.44301191
11031N2,19.52437457,101.3911598,2.571656541,37.80782606,1.615843928,26.60300272
11040N2,8.836545335,71.05471263,1.690832234,26.75932057,1.150558618,19.34204628
12000N2,7.685812277,34.27698748,0.834168747,11.55331473,0.490683307,7.75806542
12001N2,7.113566704,26.39763261,0.627685336,8.511666551,0.354498073,5.515143981
12010N2,7.029684917,41.63611879,0.978295193,14.51398857,0.607702561,10.07073083
12011N2,6.656174543,39.3255293,0.924102855,13.64075441,0.597498333,9.514465038
12012N2,6.659300824,39.12699198,0.907320391,13.59794526,0.58381874,9.372698475
12020N2,5.486450011,31.36947643,0.742256679,10.93928228,0.466136523,7.550742411
12022N2,6.448018829,47.65652176,1.088605457,16.72152865,0.720668926,11.91094746
12023N2,5.582749409,42.04442986,0.982976735,14.7110291,0.64021251,10.63303014
12024N2,6.269152916,51.61474488,1.177113907,18.49095338,0.81685591,13.40466391
12030N2,8.816874871,37.55492248,0.949465841,13.28166453,0.561495021,9.024737743
12040N2,6.28051683,37.75850094,0.875444817,12.99123099,0.557657678,8.866709226
12050N2,8.553598713,26.20963447,0.774271006,9.529542461,0.418298364,6.138745353
12060N2,5.105898448,29.12045868,0.676660527,9.831007511,0.413606914,6.761234409
12061N2,5.034677202,29.09669165,0.667168931,9.867243675,0.408879899,6.72135484
12062N2,5.257901094,28.47341471,0.686392096,9.732659511,0.405846667,6.539265222
13000N2,4.530049325,9.874654685,0.383242348,3.700444644,0.184031551,2.329954367
13010N2,4.743314487,38.05303116,0.876504934,13.59263023,0.589087613,9.771293181
13011N2,5.178359799,43.11808576,1.014544316,16.09841259,0.696379506,11.58420369
13012N2,5.808982406,48.10258393,1.146569262,17.88794773,0.794683401,12.98363455
13020N2,16.89158833,111.1323189,2.625951622,40.08485478,1.70791838,28.33388555
13040N3,5.536661669,13.88346835,0.460733776,4.717115088,0.221071488,2.919459949
13050N2,7.363495015,39.01960287,0.912231354,13.5911091,0.580648721,9.364769077
13060N2,10.81421147,40.95678195,0.996078368,13.83305729,0.581258038,8.971766146
13070N2,6.193160858,34.28996857,0.790498554,11.75084813,0.486834351,8.083710542
13071N2,6.725080408,39.4906723,0.886509789,13.26944441,0.562481951,9.29315767
13072N2,6.783622491,40.7800965,0.931251207,14.07184291,0.587175982,9.790692197
13073N2,5.882094002,33.05559059,0.76845046,11.30263014,0.475688185,7.872945861
13074N2,6.683421391,34.35734187,0.759722468,11.41013547,0.481787691,7.792146491
13075N2,6.292215832,29.52995444,0.695249843,9.795993462,0.415356193,6.579345252
13076N2,5.302295087,25.08250496,0.570228504,8.182706317,0.332880599,5.359094476
13077N2,7.00268181,27.62137513,0.673332529,9.243415892,0.401807566,6.121910794
13078N2,8.607518458,27.42197834,0.720869424,9.39978293,0.400428728,6.071309386
13080N2,6.053686653,28.13413648,0.715936689,9.964643765,0.43899167,6.820954605
13090N2,8.211821723,46.93710805,1.124975753,16.59445587,0.714509308,11.60598706
13100N2,8.234900543,53.11913155,1.238392747,18.34273263,0.809581133,12.74045299
13110N2,7.731411721,33.33493429,0.786441965,10.69875638,0.447601656,7.096736781
13120N2,6.44511666,34.66127424,0.809849295,11.71203062,0.506669644,7.928278769
13121N2,7.103001389,46.64976217,1.082862212,16.41025838,0.705294005,11.40602215
13122N2,6.841075316,57.7811877,1.346251053,21.12396779,0.92089948,15.05092888
13123N2,7.060839338,39.65976712,0.956616001,14.03981303,0.595274539,9.667326343
13130N2,7.427528706,62.82238738,1.489213498,23.71354778,1.037060928,17.4984427
13140N2,7.028902251,16.13990645,0.515726559,5.858761509,0.252992849,3.5502822
13141N2,6.131708012,29.92245258,0.708306083,9.846773841,0.416458778,6.570265453
13142N2,7.175987722,24.18332114,0.682144959,8.306781515,0.364100995,5.404312892
13150N2,7.547794917,45.68231121,1.062558745,15.86788149,0.677552074,11.13049427
13160N2,6.631943995,48.15475961,1.108950907,16.90130965,0.718127633,11.72136554
13161N2,17.00513201,75.044047,1.964389868,26.49949837,1.145487036,18.01483231
13170N2,5.881362706,38.64813534,0.920765603,13.85611958,0.585280353,9.791070262
13180N3,14.69667827,21.19982895,1.181284659,9.631417722,0.468995627,5.858352269
13181N3,13.91790418,22.16373059,1.064209135,9.762939468,0.470105315,5.913899611
13182N3,10.15739247,15.88399922,0.68420672,6.938936308,0.310243732,4.12097207
13190N2,3.166065471,15.9070888,0.367856074,5.292329204,0.223566455,3.567419656
13191N2,4.813107155,34.90566974,0.790047345,12.27881034,0.520253305,8.661431239
14000N2,8.381113491,30.00929863,0.787438225,10.03720004,0.439190028,6.480206162
14010N2,7.845126521,35.70989951,0.858678882,12.15641878,0.516914092,8.207545283
14020N2,7.275646995,47.91309053,1.098246043,16.6827626,0.709018362,11.59856638
14030N2,7.26572149,55.4336327,1.348063301,21.15355111,0.905357726,15.41007946
14040N2,6.831512904,52.85160922,1.224901691,19.2596749,0.837697389,13.8999592
14050N3,14.84336035,84.87643033,2.026817619,28.06828341,1.186710837,18.8758729
14051N3,16.95059757,74.29330909,1.876712022,25.09693175,1.073377092,16.58713519
14060N2,7.7140132,44.49538601,1.033934365,15.34296111,0.634827482,10.570461
14070N2,7.42590702,53.00141624,1.257687027,18.52368822,0.807521137,13.12862063
14071N2,7.201996203,48.00978021,1.1192799,16.79693044,0.714765331,11.89511647
14072N2,9.488610501,61.74336574,1.419237568,21.44716854,0.909048286,14.92238132
14073N2,8.643384125,52.67367604,1.250301998,18.33388741,0.757467441,12.64991805
14080N2,7.053423901,64.01661578,1.46637088,23.68523847,1.01363473,17.1629487
14090N2,7.132377877,50.13633911,1.169631796,17.67960645,0.753164828,12.59985446
14091N2,7.818131524,51.76456323,1.208970819,18.53374186,0.78978236,13.11329619
15010N2,7.534669135,48.05927652,1.124657729,16.87062467,0.718581109,11.78047347
15020N2,8.582865021,60.0029932,1.430090986,21.29214369,0.927654334,15.22287514
15021N2,6.723389371,49.12633031,1.112413065,16.67888331,0.730955388,11.74690647
15030N2,6.881045933,44.34136123,1.02518886,15.25286058,0.643226816,10.48771395
15031N2,7.521243844,53.94239621,1.241404498,19.17103875,0.813108503,13.75550726
15040N2,7.81450939,34.81967327,0.845842558,11.59533049,0.499538148,7.567111888
15050N2,8.613569115,21.892603,0.678945478,7.966225587,0.351483235,5.091177749
15060N2,7.259709613,36.15317551,0.863758451,12.23248669,0.523179178,8.187304979
15061N2,7.547481642,44.56861102,1.056870821,15.26772391,0.651188799,10.37916706
15070N2,7.550688571,55.82387003,1.305695297,20.115423,0.856461173,14.36896408
15071N2,7.33947302,53.81390161,1.26745927,19.40284251,0.815293134,13.77385771
15072N2,7.57281039,40.21747038,0.958134764,14.01598666,0.591638838,9.518278307
15080N2,7.062361293,35.46645621,0.814765415,11.81191194,0.504497898,8.041006813
15081N2,6.543598781,40.89645479,0.934975003,14.25726046,0.599443151,9.723052799
15090N2,7.205984473,44.14740809,1.021323923,15.07067592,0.642267256,10.70581077
15091N2,7.199268771,35.69541913,0.805760199,11.78058126,0.501105634,8.047262461
15100N2,6.869847944,57.91923658,1.347316084,21.01167465,0.899562919,15.32613647
15101N2,6.072117984,35.29038554,0.79248335,11.95924884,0.497140909,8.257736461
15110N2,6.597678598,50.50346887,1.135788366,17.85481596,0.750422631,12.71391052
15111N2,6.842485336,45.21788682,1.111460533,16.85568266,0.716667035,11.99242583
15131N2,7.578922333,58.40796129,1.341942549,21.22476638,0.914811106,15.38485911
15140N2,9.32046758,66.24361062,1.602644907,24.3479103,1.049567019,17.37124214
15150N2,7.868659202,43.63253352,1.014136416,14.80277853,0.624153995,10.24301033
15160N2,2.530873596,12.81099274,0.289455205,3.93892712,0.174219077,2.699588924
15161N2,5.796762021,39.34976626,0.895968059,13.41297289,0.587450334,9.387360583
15162N2,7.845381792,27.71052039,0.737887251,9.425662793,0.398027638,6.180738287
15163N2,6.483745207,45.32242611,1.059011198,15.65979987,0.675307507,11.01420554
15170N2,5.267398611,25.75291798,0.615749587,8.439280519,0.36055631,5.669927348
15171N2,6.937365731,28.07622814,0.689702615,8.887099861,0.362425619,5.749724294
15180N2,6.219730473,40.1887495,0.970343354,14.27381498,0.609155934,10.1079773
15181N2,5.878039297,44.85784957,1.027788085,16.18975265,0.692896194,11.68800384
15182N2,5.103866963,45.47503555,1.037335007,16.1565274,0.697012154,11.54118868
15183N2,6.065503298,42.2466785,0.982249357,14.90276324,0.643148801,10.57274165
15184N2,5.945918247,45.11118135,1.028225722,16.15210149,0.709083664,11.6320901
15185N2,5.687720054,42.45938995,0.971356686,15.10608737,0.647685633,10.64980135
15186N2,7.456453253,63.14031359,1.511517523,23.79988693,1.033189618,17.33234902
15190N2,8.265012672,20.56248373,0.645232317,7.413448331,0.320386189,4.679299842
15200N3,17.61259654,66.16920836,1.706062884,22.6356509,0.959075899,14.6069945
15210N2,8.002266209,43.39052321,1.051310254,15.50326182,0.662274609,10.67332048
15211N2,15.40630514,85.8463108,2.049231246,31.23607998,1.294872254,21.83096762
15220N2,7.153414237,33.18556,0.827964631,11.18541964,0.465533019,7.299195789
15240N2,5.108470809,44.63086513,1.003152538,15.90263447,0.659818394,11.43554175
15242N2,4.578397744,25.05088808,0.557344593,8.088388711,0.348288106,5.49962201
15250N2,7.499282571,58.44410083,1.340001771,20.72619094,0.882620836,14.86866555
15251N2,7.546497289,58.58973663,1.322012573,20.85889275,0.902586118,14.82133372
15252N2,7.266131442,54.47462184,1.219278949,19.22456114,0.815441958,13.6046621
15253N2,6.427208891,48.35986255,1.095390721,17.00621217,0.720226619,12.14114419
16000N2,6.631342584,53.76450696,1.233454505,19.69321695,0.85267228,14.10099988
16001N2,7.622814469,59.79339954,1.400603664,22.44074033,0.960059736,16.28358309
16002N2,7.176566998,56.71451175,1.347478474,21.0436161,0.894561381,15.16039422
16010N2,8.899812679,32.37376857,0.846475376,11.38061431,0.488132011,7.50503783
16011N2,7.505169154,53.7701089,1.234844634,19.16958675,0.806635637,13.71613779
16020N2,6.46051284,31.9744619,0.767564609,10.99173393,0.468554137,7.43300952
16030N2,7.449270614,54.93343377,1.323072217,19.77529171,0.830337021,13.96434893
16031N2,6.756601241,51.06404872,1.18032735,17.90327069,0.774398992,12.79880434
16032N2,6.992838323,44.71599268,1.041355976,15.71759813,0.658494862,11.06056027
16040N2,8.53963126,22.49872539,0.671648831,7.821953589,0.324578489,4.740140182
16041N2,9.548242348,34.72686934,0.914750306,11.93555257,0.496529886,7.860676787
16050N2,5.540071699,29.93034533,0.709658658,10.10770154,0.431886242,6.920331613
16051N2,7.870784926,43.01510856,1.020408828,15.06067649,0.65953938,10.42377146
16052N2,7.881739231,42.89041619,1.049129221,15.48264394,0.676481488,10.78583942
16053N2,7.689071971,43.54761356,1.041023573,15.67752047,0.66549796,11.01639063
16054N2,8.114964235,40.67929582,0.976035194,14.22417585,0.600755243,9.821062929
16055N2,7.340415014,45.21239259,1.032509425,15.89093943,0.691360594,11.14471804
16056N2,8.316470951,45.77812503,1.100805735,16.35472276,0.702467866,11.43503353
16057N2,8.638828422,44.14267182,1.083093862,15.77045834,0.668138872,10.87131624
16058N2,8.146940044,42.34658056,0.998536968,14.81820987,0.635625776,10.24181282
16060N2,14.53194323,60.02881527,1.500872104,20.35505299,0.872497533,13.10554412
16061N2,16.25185565,208.1973656,4.922119597,81.81230662,3.539715582,61.595467
16070N2,7.850324535,36.83005055,0.88340432,12.66353264,0.545204151,8.701346947
16080N2,7.471204511,50.63173796,1.171913103,17.84929134,0.756860741,12.61926105
16110N3,14.13742502,153.9296568,3.36952429,57.33127169,2.430367973,42.20064181
16111N3,13.61616253,146.0650199,3.334647195,52.96590131,2.263648498,38.88779441
16112N3,13.43127567,143.0152932,3.162765506,53.17485371,2.277345255,39.13107766
16113N3,12.48515886,131.9934541,2.912321114,47.66885974,2.032563246,34.95019722
16120N2,7.42755115,33.66152644,0.84628294,11.30848336,0.476589675,7.638144798
16121N2,7.815695436,28.09127797,0.706965505,9.402723725,0.40544508,6.203463461
16130N3,15.18855897,177.1018736,4.234969195,69.76409847,3.001557907,51.68862784
16140N2,8.915765689,45.74359242,1.098218901,16.17366983,0.675630023,11.02753901
16141N2,8.039292801,58.37591964,1.361080831,20.93952139,0.885357172,14.89627456
16142N2,7.661984352,62.3527168,1.465296514,22.60890838,0.981968761,16.25272011
16150N2,6.456316637,46.16302164,1.051826032,16.23188727,0.703794667,11.71121104
16160N2,8.618351321,35.45586597,0.916713345,12.56376213,0.538077075,8.446360317
16170N2,7.508802665,46.40991845,1.071013363,15.88979477,0.680500002,10.91449007
16171N2,6.199994186,38.32585372,0.868504922,13.06068289,0.551391559,8.982322161
16172N2,7.925623515,60.07295429,1.383135531,21.57489711,0.923921767,15.3182404
