name,PLD,LCD,ASA,Density,VF
15060N2,12.12641,12.51933,1425.83,0.668249,0.6538
15061N2,14.89934,15.21097,1430.79,0.558747,0.7054
15070N2,25.28196,25.54078,1023.62,0.439066,0.7832
15071N2,24.81088,25.2114,1053.76,0.453,0.7748
15072N2,14.95702,16.31818,1235.42,0.612782,0.699
15080N2,9.39234,10.5938,1496.43,0.643085,0.6694
15081N2,17.011,17.20752,1184.3,0.586624,0.7242
15090N2,16.9322,17.3466,1242.62,0.544359,0.7408
15091N2,11.46774,12.82588,1388.08,0.660057,0.6654
15100N2,31.24991,31.49759,916.449,0.41487,0.8092
15101N2,18.81683,19.15734,1120.29,0.714317,0.6994
15110N2,23.73754,24.01167,1026.53,0.489624,0.757
15111N2,30.06721,30.32973,870.351,0.493916,0.7602
15131N2,28.5914,28.78633,915.006,0.418859,0.7986
15140N2,29.275,29.52778,994.905,0.376743,0.8052
15150N2,13.34386,14.08286,1381.71,0.544649,0.7286
15160N2,6.84138,7.40845,884.678,0.820147,0.5588
15161N2,14.77734,15.54098,1218.88,0.513495,0.719
15162N2,9.55976,10.41823,1284.1,0.853919,0.5824
15163N2,17.9532,18.25392,1186.84,0.531445,0.728
15170N2,10.14918,10.78469,1296.81,0.813581,0.5754
15171N2,5.9308,7.61354,1705.95,0.715945,0.6226
15180N2,22.92139,23.38247,1005.75,0.611442,0.7384
15181N2,29.10641,29.26242,910.797,0.534441,0.7648
15182N2,27.49842,27.72885,953.505,0.509548,0.7832
15183N2,23.42567,23.85134,989.523,0.578754,0.7558
15184N2,28.98969,29.13002,913.101,0.534625,0.7642
15185N2,23.90051,24.08857,986.238,0.569687,0.7554
15186N2,37.53631,37.71892,771.974,0.379974,0.8236
15190N2,7.17461,7.48822,1216.37,1.10031,0.5024
15200N3,7.49153,8.26864,2786.03,0.573041,0.7474
15210N2,19.0141,19.44775,1192.98,0.583729,0.7114
15211N2,22.03332,23.61007,1531,0.348673,0.8402
15220N2,11.48904,11.89015,1374.53,0.733937,0.6524
15240N2,25.07403,25.43054,985.864,0.489931,0.7496
15242N2,12.04028,12.56355,1200.88,0.788188,0.5958
15250N2,23.45936,23.8164,1074.08,0.422491,0.7872
15251N2,23.39501,23.77963,1078.02,0.42397,0.7896
15252N2,21.90998,22.16218,1119.95,0.457913,0.773
15253N2,19.37121,19.91137,1150.37,0.499114,0.7542
16000N2,29.58861,29.71623,916.759,0.44457,0.7864
16001N2,33.11678,33.35495,848.902,0.393682,0.8046
16002N2,31.2643,31.62427,885.361,0.417357,0.7928
16010N2,11.81127,12.20025,1380.95,0.806233,0.6182
16011N2,24.9389,25.21522,1017.24,0.46689,0.774
16020N2,14.67008,15.10313,1237.24,0.721008,0.666
16030N2,23.42838,23.61725,1082.63,0.441747,0.764
16031N2,20.23061,20.5771,1150.47,0.458838,0.7518
16032N2,19.48416,19.72142,1164.54,0.529438,0.7294
16040N2,6.32317,6.88647,1265.39,0.836176,0.566
16041N2,11.80227,12.77232,1364.36,0.706854,0.6352
16050N2,13.29612,13.57867,1186.01,0.810656,0.6542
16051N2,18.03346,18.33212,1123.89,0.614475,0.7156
16052N2,22.14611,22.87778,1075.83,0.587633,0.72
16053N2,22.34531,22.74923,1062.28,0.573461,0.7216
16054N2,17.2986,17.84282,1153.09,0.651668,0.7022
16055N2,18.46865,18.7246,1085.34,0.567522,0.7332
16056N2,19.61827,20.37076,1103.39,0.569843,0.7314
16057N2,20.80033,21.28633,1099.79,0.612741,0.7292
16058N2,19.81649,20.13351,1127.92,0.621325,0.7144
16060N2,8.04952,10.02023,2285.61,0.519721,0.7318
16061N2,18.6803,23.771,952.384,0.117976,0.9402
16070N2,14.53313,15.14494,1563.92,0.617806,0.6998
16080N2,16.60556,17.23016,1193.94,0.491903,0.7428
16110N3,15.821,22.92042,1253.51,0.176974,0.9102
16111N3,14.20348,16.1985,1362.96,0.19318,0.8914
16112N3,15.91733,25.09536,1226.91,0.189809,0.907
16113N3,14.242,16.21366,1391.24,0.215562,0.8892
16120N2,12.8054,13.10985,1296.63,0.76133,0.652
16121N2,10.9622,11.60295,1335.02,0.888622,0.598
16130N3,22.01679,31.65411,899.168,0.14459,0.9324
16140N2,25.03846,25.23873,1171.91,0.533736,0.7422
16141N2,25.20703,25.76358,1023.64,0.428492,0.7918
16142N2,26.03347,26.58854,1013.33,0.388748,0.7998
