Number,structure,111K,231K,296K
0,05001N2,2.986307577526474,3.1591711048299933,2.3802974955008884
1,07000N2,3.9254042986868316,4.1763683529086775,3.383832385231616
2,07010N3,1.3898469504284303,3.8788397786906246,4.246695118826647
3,07011N3,1.8339661182109337,4.732042532864746,4.707209123137284
4,07012N3,16.997029832840177,8.171241330780031,5.612648527842362
5,07013N3,16.984440318549876,8.359494346763256,5.760716681761085
6,08000N3,1.5548194092454752,3.3927314374540503,3.20053335544461
7,09000N3,0.6268599292720928,1.8689640846914122,2.2745876091418755
8,10010N2,1.643287842688586,2.2117708900828728,1.7173808955671805
9,11002N2,6.977404083946082,3.8142119438250957,2.7878416908345818
10,11003N2,3.8847424448048034,4.007832598289116,2.8461359244702904
11,11020N2,1.1369377482807448,2.9813202823658367,2.6690825842823283
12,11030N2,3.9949690755500176,5.346248419927455,4.109448646921301
13,11031N2,9.995422231557601,5.367745312929685,3.6422429491610795
14,11040N2,7.201257665279164,4.980438413539064,3.6787450922767873
15,12000N2,0.9643014726789203,2.3463827030521407,2.233598363138616
16,12010N2,1.899484844936021,2.911238235419065,2.3428608120732135
17,12011N2,1.8528232341933384,2.72272275701539,2.1795483439903625
18,12012N2,1.8786196826869135,2.7253605682871984,2.168263921640107
19,12022N2,3.701163307346271,3.44789684666152,2.6035401447617414
20,12023N2,3.7625338295910713,2.8187359101853446,2.0749534932100397
21,12024N2,4.840992215012163,4.043533161614278,3.1571453515377814
22,12040N2,1.7031857950054052,2.5757877986761963,2.0238958421164837
23,12060N2,1.9499041931400893,2.1545822771221714,1.6547994616946253
24,12061N2,1.853452002928536,2.332032686098332,1.695984735441194
25,12062N2,1.862223817750794,2.3362661443650627,1.6993403739536233
26,13010N2,4.028022733947089,2.432057383532106,1.6749995331190666
27,13012N2,5.293630838138879,3.390871873930753,2.56303880986835
28,13020N2,11.77121907074667,5.604878050902527,3.763147236645755
29,13051N2,0.9295731413199328,2.354531967142624,2.2233377318760548
30,13060N2,0.806901774726294,2.1552432360689475,2.2222986435614063
31,13100N2,4.2290589206258735,6.1402084977148395,4.615692266453643
32,13101N2,3.123059498478488,5.778710812407542,4.716508762982194
33,13110N2,2.085617070107936,3.8698043726927054,2.9203370977747856
34,13121N2,0.8955569777567624,2.65657751229205,3.0438955390752183
35,13122N2,1.6550785900828735,3.645878446285369,3.741787109238388
36,13123N2,1.3027521074491983,2.9460785236456255,2.703060164840457
37,13130N2,7.019643844464726,3.9928571514331432,2.864230794175249
38,13150N2,1.1213949121745124,2.766734720638799,2.87197410775787
39,13160N2,4.2795896691595665,5.704449141919746,4.1733389596038
40,13161N2,6.0765507819478835,4.527890798239652,3.078977421904754
41,13170N2,9.192776724151512,4.8436169805693,3.3116728438708365
42,13191N2,1.8340674193128208,2.7910383307751547,2.314479207505212
43,14010N2,0.7313208133089271,2.1000823923584897,2.4561478340317784
44,14020N2,1.2060967955315784,2.7675846080181707,2.685577881488929
45,14030N2,6.843284515857473,3.6157152519436058,2.6071002916438455
46,14031N2,5.190692645338522,3.546589390475642,2.5100474490828346
47,14040N2,6.219445869867735,3.5790262924246385,2.6655460143872105
48,14060N2,2.336954776834096,4.473365945202744,3.758741418126441
49,14070N2,4.130056972893991,3.58105665937539,2.6566455840506937
50,14071N2,4.073449110644169,3.5226393253503234,2.614368705418521
51,14072N2,7.522464086806332,5.519719392846657,3.811422172769317
52,14073N2,7.331004722653598,5.5472431105296,3.833256593724165
53,14080N2,5.183134937844734,4.455270931584676,3.409280874972531
54,14090N2,1.7123025995159424,3.2722348411727413,3.136266289573911
55,14091N2,1.5769136521312275,3.0461134865778114,2.789677871881015
56,14100N2,1.605311541808652,3.4768540925159903,2.994620167325637
57,15010N2,3.472422686705115,3.2676948604086027,2.430971445953618
58,15020N2,7.698040015738329,6.213199834474556,4.30343072790763
59,15021N2,9.058940906768706,5.112079939290886,3.4924234705097437
60,15030N2,0.7338367094606565,2.2503349838163715,2.525842624739575
61,15031N2,3.2635866758037015,3.7308200189151854,3.0319227588497992
62,15060N2,1.3545073326781392,2.5820727531306744,2.247170676285571
63,15061N2,2.3061436810878204,3.2803134405103282,2.554132475630332
64,15070N2,4.39437830787459,3.98769833345608,3.1288060067603465
65,15071N2,4.539545104966432,3.979723435229381,3.110769403895464
66,15072N2,6.580196483183816,4.985794959165149,3.3857546241300884
67,15080N2,3.9840385893874264,4.59133690838773,3.1974509714188546
68,15081N2,6.687571409630777,5.033343098073638,3.41648471322321
69,15090N2,6.6331040119232485,4.981600952420563,3.3856168765893733
70,15091N2,5.863590892431107,4.612423382169107,3.1417859121770855
71,15100N2,6.2725272874036175,3.885554816560994,2.886734348110375
72,15110N2,4.9483605876162144,3.4178583857172007,2.4377817708239484
73,15111N2,4.06880452071475,2.3466282104659846,1.6802834555528754
74,15120N2,5.660496529664342,5.021466514552779,4.255872739470383
75,15130N2,4.9663806899756695,3.617478996052094,2.470118866442602
76,15131N2,6.624984888832216,3.6819362826785302,2.5712649637457456
77,15140N2,3.6741932098667176,4.502148482714987,3.8834613243405247
78,15150N2,5.633054146262144,4.5539204738813215,3.087812982977995
79,15161N2,2.0657625187932465,2.150910605768442,1.6408690052721067
80,15163N2,0.9463563022884021,2.5773756437480952,2.745439107383904
81,15180N2,4.1181024737038125,3.110578814142066,2.1526097367015407
82,15181N2,4.932519919810445,2.8871930332263913,2.075200516796176
83,15182N2,4.281705710978068,3.145627732171385,2.2845172739354527
84,15183N2,4.238724140906382,2.965106445329341,2.132744590517828
85,15184N2,4.942585788601926,2.8973174593218274,2.0835120058456735
86,15185N2,4.278188802980276,3.160786992120084,2.3020548688384475
87,15186N2,7.218778423208449,4.1123428353633065,3.056584462329491
88,15201N3,20.956085659753366,9.444515621959866,6.640349120463506
89,15202N3,9.271670967999656,7.643982636626417,5.209915007345884
90,15240N2,5.358672398910937,2.8856947235539225,2.030227302670182
91,15241N2,5.727782528470608,3.679639681371307,2.4655151923967087
92,15250N2,1.9205233963000212,3.7184074039901835,3.4032386779304673
93,15251N2,1.4280467923405735,3.179521540193571,3.108067267023463
94,15252N2,1.475233530946524,3.2372479810897867,3.0925315091962537
95,15253N2,1.4610840007362917,3.2523252547299597,3.057028097397265
96,16011N2,4.350257920051302,4.136757786680284,3.243857448638388
97,16030N2,4.34420844737242,3.9480735293887377,3.146630408520667
98,16031N2,3.9773513439245596,3.588141259107826,2.7692985980220555
99,16032N2,5.585149592414745,4.09708946739046,2.9090807114795942
100,16041N2,0.47881419851882867,1.7000566188198496,2.1914531624147626
101,16050N2,3.1076851795669302,1.7495933891897222,1.1416918233084536
102,16051N2,3.6327821073426625,2.621892190735256,1.868071261445993
103,16052N2,4.73879282093381,1.9085229725897237,1.3034827063794108
104,16053N2,4.9978275376193375,2.180330034315914,1.4768808823222421
105,16054N2,3.8209286835598317,2.4060282953865793,1.613132162223505
106,16055N2,4.462600263222363,2.721864100192795,1.9230075554106787
