Number,structure,111K,231K,296K
0,05000N2,1.0722178648304441,0.8080400025083353,0.5490532418273502
1,05001N2,3.7411617155882215,1.4105746431543336,1.0331572815181032
2,07000N2,4.691332861146449,1.7792413611857134,1.3503379891537752
3,07001N2,1.568248653883028,0.7384170541125389,0.5237838436529689
4,07002N2,2.948548478950227,1.0645933872160729,0.7770091077417445
5,07010N3,6.750687493821166,2.4826777854916537,1.7851019258392051
6,07011N3,7.416023032271491,2.616034175208715,1.9254762284580946
7,07012N3,12.906087636836824,5.140240569782344,4.0301977971823115
8,07013N3,13.075643628762943,5.242124543981692,4.13916114059043
9,08000N3,4.649676513982417,1.8272869333469608,1.3227857702180121
10,08010N2,1.1256528558373529,0.42139615322395435,0.2769747532866723
11,08011N2,1.9935753109847192,0.6384831035643045,0.4523374685700264
12,08012N2,2.282612243191654,0.9462925136495304,0.6703642472179618
13,08013N2,2.848297982269113,1.1148603678353033,0.8081865134634353
14,08020N2,1.2906307118059632,0.5800727506146811,0.4111527451007026
15,08030N2,3.9077170774660104,1.5011218413203713,1.1307313885213128
16,09000N3,4.175197954382568,1.7455441233766964,1.2447825185730277
17,09010N2,2.181561391809043,0.7062552410160202,0.49758825625271563
18,10000N2,1.8755375344771352,0.6738178234838567,0.4804155699173634
19,10001N2,0.8761925942982018,0.9845926111417577,0.6872349252373005
20,10010N2,2.6711069001048307,0.9382685202224835,0.6865913672169729
21,10020N2,3.055933484744218,1.1053135863174752,0.8091562090605394
22,11000N2,3.408035285583771,1.3241698908627326,0.9855654558384205
23,11001N2,2.681522146108376,1.4027144907963238,0.9706999850784257
24,11002N2,5.508139026155616,2.0658501829145903,1.611820116523715
25,11003N2,5.277958105101841,2.1993239069482096,1.598949981244404
26,11010N2,2.3195711338715435,0.8272079227893855,0.6055709691250402
27,11020N2,3.6133251898838084,1.2456236121658641,0.9145833537159226
28,11030N2,6.193610223542672,2.571372668538496,1.946441283540522
29,11031N2,8.463199425372537,3.488814487257414,2.6622805008850823
30,11040N2,6.19170911017652,2.4740516623705817,1.9163365193456772
31,12000N2,2.8915287543930814,1.0349715723949453,0.7601492498707504
32,12001N2,2.225353078792301,0.8686928273387695,0.6271439207322385
33,12010N2,3.3532476682286685,1.2586940798359465,0.936256744226261
34,12011N2,3.1499084042752634,1.177500387787246,0.8778632971773128
35,12012N2,3.1508209287917643,1.179434112651738,0.87922751462829
36,12020N2,2.6089554886351576,0.9610931430262387,0.7021856822153687
37,12022N2,3.9486553443050467,1.449895448089125,1.0803686563625798
38,12023N2,3.472325390290294,1.2699271577801088,0.95409955401012
39,12024N2,4.9132649442620195,1.7941339608165459,1.372721888162668
40,12030N2,3.2284748580542924,1.2609951515946316,0.9221836136665037
41,12040N2,2.906486132258,1.1105407942397485,0.8156967734705581
42,12050N2,1.7079387887498056,0.6745266544733204,0.4746062549991738
43,12051N2,0.7068781700147695,0.8383762530246448,0.5817317169846921
44,12060N2,2.711661245270309,0.9148875772850867,0.6816018604081097
45,12061N2,2.7063038705654603,0.9123297428638736,0.6770331315993092
46,12062N2,2.7279639498154746,0.9159474156635461,0.6797985110833776
47,13000N2,0.5753733567779016,0.3189633165869135,0.22535224562848943
48,13010N2,3.361804643876042,1.2079623644253676,0.9150338860807202
49,13011N2,3.8516350305413676,1.455603500367135,1.1121663685643435
50,13012N2,4.361549283261857,1.643863248864716,1.268673584927521
51,13020N2,9.443173958738422,3.7199674589537968,2.8108563885379714
52,13040N3,2.7079907250379125,0.8293947879865545,0.5890847033321962
53,13050N2,3.4560786375384165,1.3039624616110685,0.9708506883134549
54,13051N2,2.887867375733898,1.0321922497223146,0.7648220700831463
55,13060N2,3.2187455710188098,1.124094938435271,0.8183496985839824
56,13070N2,3.1192475651498417,1.128206185758116,0.8395628982538677
57,13071N2,3.1111338143772187,1.140874800466077,0.8546780244990895
58,13072N2,3.4041726553747638,1.2215858342527866,0.9169952532379705
59,13073N2,2.9241624972550695,1.0697836054855236,0.7934415504058618
60,13074N2,3.4365154781338583,1.2415396291627012,0.9237969775263206
61,13075N2,2.3961102081246963,0.8446119512595451,0.6212715266872846
62,13076N2,1.9539545655797106,0.6906249405975388,0.4982096740133128
63,13077N2,1.962427869409237,0.7667646314300497,0.5528152480283569
64,13078N2,1.9943594319735456,0.7910539857098492,0.5611807835326748
65,13080N2,2.877323076549347,0.9850797769361064,0.7338991587308321
66,13090N2,3.863566716627167,1.4681590891322878,1.098351716199566
67,13100N2,7.559054527347087,2.980537369931517,2.2397346538746103
68,13101N2,8.366208111522717,3.008561507513967,2.2123194689403647
69,13110N2,4.406696232236524,1.9930978283380558,1.4567588510507974
70,13120N2,3.1604380535438685,1.1411363882587273,0.8301033245646627
71,13121N2,4.466729041936592,1.643685246302472,1.2279940246786398
72,13122N2,5.184809859297153,1.9711095785422732,1.488680637395878
73,13123N2,3.552541879145044,1.3402440223716887,1.0008898817828684
74,13130N2,5.370555068310247,2.112842767907256,1.639552823052533
75,13140N2,1.3839279168340155,0.5919523195411701,0.42567735216921093
76,13141N2,2.558121914826949,0.8677309968441643,0.6345449919163877
77,13142N2,2.0945955998872874,0.7486185277430452,0.5465046036254
78,13150N2,3.5596850633830486,1.3293256231315846,0.9920736079868399
79,13160N2,6.681897803435883,2.825557369208912,2.124267123282235
80,13161N2,5.962316108914193,2.575489470347932,1.9165703638494893
81,13170N2,7.388100012929963,3.3612414903233514,2.530086475957762
82,13180N3,0.6733908750146216,0.8600813540294698,0.6193345449454125
83,13181N3,0.8585780289621584,0.9080586999757412,0.6528485940882396
84,13182N3,0.7173794714415062,0.6868287456415876,0.4949029636709398
85,13190N2,1.6271658279874623,0.5595475279942395,0.40059033632144136
