,name,PLD,LCD,ASA,Density,VF,site,ratio,T,DC
62,11000N2,13.02845,13.36177,1802.32,0.596628,0.7098,0.0,0.0,296,0.8005128928571429
63,11001N2,4.85715,6.3075,1702.28,0.736441,0.6326,0.0,0.0,111,2.1539016723214286
64,11001N2,4.85715,6.3075,1702.28,0.736441,0.6326,0.0,0.0,231,0.8869267069642859
65,11001N2,4.85715,6.3075,1702.28,0.736441,0.6326,0.0,0.0,296,0.5350459591071429
66,11002N2,27.01523,27.2536,997.785,0.427085,0.7858,0.0,0.0,111,4.2176572877678575
67,11002N2,27.01523,27.2536,997.785,0.427085,0.7858,0.0,0.0,231,1.6463169862500002
68,11002N2,27.01523,27.2536,997.785,0.427085,0.7858,0.0,0.0,296,1.192501235982143
69,11003N2,12.3481,13.11535,1811.05,0.493244,0.7448,0.0,0.0,111,3.8578679625000003
70,11003N2,12.3481,13.11535,1811.05,0.493244,0.7448,0.0,0.0,231,1.4365717437499999
71,11003N2,12.3481,13.11535,1811.05,0.493244,0.7448,0.0,0.0,296,0.9659848064285715
72,11010N2,11.10642,11.44013,1276.16,0.935537,0.6142,0.0,0.0,111,1.8056761945535718
73,11010N2,11.10642,11.44013,1276.16,0.935537,0.6142,0.0,0.0,231,0.7410394661607144
74,11010N2,11.10642,11.44013,1276.16,0.935537,0.6142,0.0,0.0,296,0.4957668891964286
75,11020N2,12.38825,12.79729,1412.35,0.61879,0.6886,0.0,0.0,111,2.845782308392857
76,11020N2,12.38825,12.79729,1412.35,0.61879,0.6886,0.0,0.0,231,1.071459662232143
77,11020N2,12.38825,12.79729,1412.35,0.61879,0.6886,0.0,0.0,296,0.731103184375
78,11030N2,14.70511,15.41679,1283.08,0.552143,0.7238,0.0,0.0,111,3.285293155625
79,11030N2,14.70511,15.41679,1283.08,0.552143,0.7238,0.0,0.0,231,1.2507770405357144
80,11030N2,14.70511,15.41679,1283.08,0.552143,0.7238,0.0,0.0,296,0.8747256711607142
81,11031N2,26.26796,26.63908,1278.41,0.299763,0.8518,0.0,0.0,111,7.3095343955357155
82,11031N2,26.26796,26.63908,1278.41,0.299763,0.8518,0.0,0.0,231,3.146086564196428
83,11031N2,26.26796,26.63908,1278.41,0.299763,0.8518,0.0,0.0,296,2.2309963207142856
84,11040N2,32.78879,32.93058,874.708,0.344509,0.8282,0.0,0.0,111,5.5551935084821435
