Number,Name,PLD,LCD,VSA,Density,VF,H,C,N,O,Metal,N_Metal,N_group
0,20680N2,30.02757,30.20948,924.374,0.424432,0.7962,72,108,36,24,0,0,0
1,20690N2,15.82205,16.15913,1222.83,0.685503,0.6744,48,72,12,12,0,0,6
2,20700N2,18.29833,18.47926,1117.76,0.603972,0.6792,62,104,12,0,0,0,12
3,20701N2,18.37827,18.95025,1051.57,0.839097,0.6454,84,147,18,0,0,0,90
4,21740N2,15.83107,16.03643,1383.88,0.493812,0.7424,120,196,16,0,0,0,24
5,21750N2,5.71508,6.43957,200.081,1.38526,0.3046,138,212,24,24,0,0,0
6,21751N2,6.24842,6.83432,242.794,1.68878,0.3532,96,180,24,24,3,12,0
7,21752N2,5.6183,6.07428,232.137,1.71135,0.333,97,180,24,24,3,10,0
8,21760N3,7.42306,14.06712,2461.67,0.335872,0.8346,112,170,8,8,0,0,8
9,21761N2,13.78984,13.96447,1309.7,0.640875,0.657,176,288,16,0,0,0,16
10,21770N2,23.91482,24.14058,1074.92,0.466607,0.778,60,84,24,12,0,0,6
11,21771N2,21.21468,21.46479,1190.83,0.520073,0.7504,72,84,36,12,0,0,0
12,21780N2,15.39341,15.53604,1248.75,0.626365,0.6816,128,196,16,0,0,0,24
13,21781N2,13.91309,14.32687,1301.11,0.669925,0.6632,112,168,20,0,0,0,20
14,21790N3,26.51888,28.34439,991.446,0.12908,0.9338,516,813,36,0,0,0,108
15,21800N2,23.92353,23.98748,1040.88,0.444593,0.7718,160,176,12,16,0,0,12
16,21810N2,11.69019,12.14979,1309.33,0.711316,0.612,42,66,6,0,0,0,6
17,21811N2,11.3117,11.78632,1370.86,0.731959,0.6254,36,60,12,0,0,0,6
18,21820N2,20.88322,20.96006,1130.92,0.555275,0.7438,84,96,24,24,0,0,0
19,21821N2,14.74948,15.06265,1119.36,0.782503,0.6328,144,132,24,42,0,0,0
20,21822N2,9.63816,9.99688,1108.36,0.92756,0.5442,192,156,24,54,0,0,0
21,21823N2,10.74093,11.03371,1348.48,0.876924,0.5796,168,144,24,48,0,0,0
22,21830N2,18.16138,18.57656,1075.11,0.732442,0.649,152,288,32,48,0,0,0
23,21840N2,12.49469,13.0349,1965.8,0.554435,0.721,152,272,32,0,0,0,24
24,21850N2,1.04911,3.22023,0,1.49762,0.2958,576,584,56,0,0,0,64
25,21860N2,25.57456,25.6991,1037.23,0.431991,0.793,168,304,32,0,0,0,32
26,22050N2,22.9032,23.14459,1051.97,0.37586,0.8104,232,264,24,8,0,0,16
27,22060N2,20.09507,20.36389,1140.7,0.553212,0.7364,54,96,26,0,0,0,12
28,22061N2,20.39761,20.66272,1119.71,0.541781,0.7364,60,102,20,0,0,0,12
29,22070N2,7.22529,8.04315,1240.27,0.843176,0.5802,156,156,48,24,0,0,0
30,22080N2,11.57365,11.80395,1456.26,0.638982,0.6844,92,152,16,0,0,0,24
31,22090N2,13.27481,15.11579,2097.97,0.359834,0.84,496,896,64,64,2,8,96
32,22091N2,22.26153,23.92017,1586.61,0.359834,0.835,496,896,64,64,2,8,96
33,22100N2,10.09831,10.71087,1532.28,0.649225,0.6756,68,96,8,8,0,0,8
34,221010N2,18.34357,18.4859,1275.48,0.488352,0.7662,136,224,16,16,0,0,24
35,221011N2,16.38993,16.80718,1280.63,0.55933,0.7058,68,112,8,0,0,0,12
36,221012N2,20.22812,20.35742,1158.32,0.511627,0.7382,168,272,16,16,0,0,32
37,221013N2,20.07457,20.2394,1185.49,0.479156,0.745,168,272,16,0,0,0,32
38,22101N2,11.6722,11.91316,1273.72,0.837316,0.6118,36,60,12,6,0,0,6
