Number,Name,Number_group
460,19453N2,24
461,19454N2,24
462,19455N2,24
463,19456N2,36
464,19460N2,6
465,19461N2,6
466,19462N2,6
467,19463N2,6
468,19464N2,0
469,19465N2,0
470,19466N2,0
471,19467N2,0
472,19470N2,72
473,19471N2,72
474,19480N2,12
475,19481N2,0
476,19482N2,6
477,19483N2,0
478,19490N2,18
479,19491N2,26
480,19500N2,12
481,19510N2,18
482,19511N2,12
483,19520N2,12
484,19521N2,12
485,19522N2,12
486,19530N2,16
487,19531N2,20
488,19540N2,12
489,19541N2,24
490,19542N2,0
491,19550N2,8
492,19560N2,12
493,19570N2,24
494,19571N2,12
495,19572N2,28
496,19573N2,16
497,20000N2,32
498,20010N2,0
499,20020N2,0
500,20021N2,0
501,20030N2,0
502,20031N2,0
503,20040N2,18
504,20050N2,32
505,20051N2,32
506,20052N2,32
507,20060C2,0
508,20070N2,10
509,20080N2,0
510,20090N2,22
511,20091N2,20
512,20100C3,24
513,20110N3,16
514,20111N3,8
515,20112N3,16
516,20113N3,0
517,20114N3,0
518,20115N3,0
519,20116N3,0
520,20117N3,0
521,20118N3,0
522,20120N2,16
523,20121N3,32
524,20130N2,12
525,20140N2,16
526,20141N2,16
527,20142N2,16
528,20150N2,12
529,20151N2,12
530,20152N2,12
531,20153N2,12
532,20160N2,0
533,20161N2,12
534,20162N2,12
535,20163N2,12
536,20164N2,12
537,20165N2,18
538,20166N2,12
539,20167N2,18
540,20168N2,12
541,20169N2,18
542,2016aN2,12
543,2016bN2,18
544,20170N2,24
545,20171N2,24
546,20172N2,16
547,20173N2,16
548,20180N2,6
549,20181N2,6
550,20182N2,12
551,20190N2,12
552,20191N2,12
553,20200N2,48
554,20201N2,24
555,20202N2,18
556,20203N2,48
557,20210N2,12
558,20211N2,12
559,20220N2,12
560,20230N2,16
561,20240C2,0
562,20250N2,18
563,20260N3,24
564,20261N3,32
565,20270C2,6
566,20271C2,6
567,20272C2,6
568,20280N2,16
569,20281N2,24
570,20282N2,24
571,20290N2,8
572,20300N2,12
573,20310N2,18
574,20311N2,24
575,20320N2,24
576,20321N2,18
577,20330N2,18
578,20331N2,12
579,20340N2,0
580,20341N2,12
581,20350N2,24
582,20360N2,18
583,20361N2,12
584,20362N2,6
585,20370N3,16
586,20380N2,0
587,20390N2,32
588,20391N2,32
589,20392N2,32
590,20400N2,6
591,20401N2,18
592,20402N2,12
593,20403N2,25
594,20410N2,24
595,20411N2,16
596,20420N2,0
597,20421N2,6
598,20430N3,24
599,20440N3,0
600,20441N3,0
601,20442N3,0
602,20443N3,0
603,20450N2,32
604,20460N2,0
605,20470N2,36
606,20471N2,18
607,20472N2,24
608,20473N2,36
609,20480N3,288
610,20481N3,288
611,20490N2,24
612,20491N2,24
613,20500N3,0
614,20501N3,0
615,20510N2,24
616,20520N3,18
617,20521N3,24
618,20530N2,24
619,20531N2,28
620,20540N2,18
621,20541N2,14
622,20542N2,24
623,20543N2,12
624,20544N2,24
625,20550N2,0
626,20551N2,0
627,20560N3,8
628,20561N3,0
629,20562N3,0
630,20563N3,0
631,20564N3,16
632,20565N3,4
633,20570N3,24
634,20571N3,32
635,20580N3,40
636,20581N2,40
637,20590N2,24
638,20600N2,12
639,20610N2,18
640,20611N2,18
641,20620N2,6
642,20621N2,12
643,20630N2,42
644,20631N2,32
645,20640N2,30
646,20641N2,12
647,20650N2,12
648,20651N3,6
649,20652N2,12
650,20653N2,12
651,20660N2,6
652,20670N3,10
653,20671N2,16
654,20672N2,16
655,21000N2,12
656,21001N2,12
657,21010N2,12
658,21011N2,12
659,21012N2,12
660,21013N2,12
661,21014N2,12
662,21020N2,12
663,21021N2,8
664,21030N2,24
665,21031N2,16
666,21032N2,24
667,21033N2,16
668,21034N2,16
669,21035N2,16
670,21040N3,16
671,21041N3,24
672,21050N2,24
673,21051N2,32
674,21052N2,24
675,21053N2,32
676,21060N2,0
677,21070N2,0
678,21071N2,0
679,21072N2,0
680,21073N2,0
681,21080N2,12
682,21081N2,12
683,21082N2,12
684,21083N2,12
685,21090N3,16
686,21091N3,16
687,21100N2,32
688,21101N2,32
689,21102N2,32
690,21110N3,36
691,21111N3,12
692,21120N2,12
693,21130N2,0
694,21131N2,0
695,21140N2,6
696,21150N2,0
697,21170N2,12
698,21180N2,0
699,21181N2,12
700,21182N2,12
701,21190N2,24
702,21191N2,0
703,21192N2,3108
704,21200N2,24
705,21201N2,12
706,21210N2,42
707,21220N2,24
708,21230N2,12
709,21240C2,9
710,21241C2,18
711,21242C2,18
712,21250N2,6
713,21251N2,6
714,21260N2,32
715,21270N3,32
716,21271N3,80
717,21280N3,6
718,21290N2,56
719,21291N3,48
720,21300C3,48
721,21310N2,32
722,21311N3,48
723,21312N2,24
724,21313N3,24
725,21314N2,16
726,21315N3,16
727,21320N2,16
728,21330N2,12
729,21331N2,12
730,21340N2,24
731,21350N2,0
732,21351N2,0
733,21352N2,0
734,21353N2,0
735,21354N2,0
736,21360N2,12
737,21370N2,0
738,21371N2,0
739,21380N2,6
740,21381N2,6
741,21382N2,6
742,21390N2,6
743,21391N2,6
744,21392N2,0
745,21393N2,0
746,21394N2,0
747,21395N2,0
748,21400N2,12
749,21410N2,24
750,21411N2,24
751,21420N2,8
752,21421N2,16
753,21422N2,0
754,21423N2,0
755,21424N2,24
756,21425N2,16
757,21426N3,4
758,21430N2,6
759,21440N2,12
760,21450N2,0
761,21451N2,12
762,21460N2,12
763,21470N2,48
764,21480N2,0
765,21481N2,0
766,21490N2,16
767,21510N3,16
768,21511N3,16
769,21520N3,0
770,21530N2,28
771,21531N2,22
772,21540N3,32
773,21550N3,0
774,21551N3,9
775,21560N3,24
776,21570N3,32
777,21571N3,32
778,21572N3,16
779,21600N2,12
780,21601N2,12
781,21620N2,0
782,21630N2,12
783,21631N2,12
784,21632N2,0
785,21633N2,6
786,21640N3,6
787,21650N2,0
788,21651N2,0
789,21660N2,0
790,21661N2,6
791,21670N2,0
792,21680N2,16
793,21690N2,108
794,21691N2,108
795,21700N2,24
796,21710N2,24
797,21711N2,0
798,21712N2,0
799,21720N2,0
800,21730N3,126
801,22000N2,0
802,22001N2,0
803,22002N2,0
804,22010N2,0
805,22020N2,0
806,22021N2,0
807,22030N2,0
808,22031N2,0
809,22040N2,36
810,22041N2,8
