Number,Name,H,C,N,O,Metal,Metal_count
513,20110N3,160.0,228.0,16.0,16.0,None,0
514,20111N3,80.0,114.0,8.0,8.0,None,0
515,20112N3,160.0,228.0,16.0,16.0,None,0
516,20113N3,192.0,244.0,16.0,16.0,None,0
517,20114N3,96.0,122.0,8.0,8.0,None,0
518,20115N3,192.0,244.0,16.0,16.0,None,0
519,20116N3,224.0,260.0,16.0,16.0,None,0
520,20117N3,224.0,260.0,16.0,16.0,None,0
521,20118N3,112.0,130.0,8.0,8.0,None,0
522,20120N2,88.0,140.0,8.0,0.0,None,0
523,20121N3,224.0,304.0,16.0,0.0,None,0
524,20130N2,84.0,144.0,12.0,0.0,None,0
525,20140N2,104.0,156.0,8.0,8.0,None,0
526,20141N2,112.0,160.0,8.0,8.0,None,0
527,20142N2,96.0,152.0,8.0,8.0,None,0
528,20150N2,144.0,204.0,12.0,0.0,None,0
529,20151N2,120.0,204.0,12.0,0.0,None,0
530,20152N2,132.0,192.0,24.0,0.0,None,0
531,20153N2,108.0,192.0,24.0,0.0,None,0
532,20160N2,168.0,216.0,12.0,24.0,None,0
533,20161N2,168.0,252.0,12.0,12.0,None,0
534,20162N2,156.0,252.0,12.0,12.0,None,0
535,20163N2,132.0,168.0,24.0,12.0,None,0
536,20164N2,132.0,168.0,24.0,12.0,None,0
537,20165N2,108.0,156.0,24.0,0.0,None,0
538,20166N2,120.0,156.0,36.0,12.0,None,0
539,20167N2,144.0,240.0,12.0,0.0,None,0
540,20168N2,164.0,248.0,16.0,12.0,None,0
541,20169N2,140.0,236.0,16.0,0.0,None,0
542,2016aN2,128.0,164.0,28.0,12.0,None,0
543,2016bN2,104.0,152.0,28.0,0.0,None,0
544,20170N2,112.0,184.0,16.0,0.0,None,0
545,20171N2,112.0,184.0,16.0,0.0,None,0
546,20172N2,144.0,200.0,16.0,16.0,None,0
547,20173N2,144.0,200.0,16.0,16.0,None,0
548,20180N2,60.0,108.0,6.0,0.0,None,0
549,20181N2,54.0,102.0,12.0,0.0,None,0
550,20182N2,60.0,96.0,12.0,6.0,None,0
551,20190N2,84.0,132.0,12.0,0.0,None,0
552,20191N2,96.0,156.0,12.0,0.0,None,0
553,20200N2,216.0,324.0,24.0,0.0,None,0
554,20201N2,136.0,256.0,16.0,0.0,None,0
555,20202N2,96.0,168.0,12.0,0.0,None,0
556,20203N2,216.0,372.0,24.0,0.0,None,0
557,20210N2,72.0,96.0,8.0,0.0,None,0
558,20211N2,78.0,108.0,6.0,0.0,None,0
559,20220N2,84.0,120.0,36.0,0.0,None,0
560,20230N2,120.0,200.0,16.0,0.0,None,0
561,20240C2,40.0,128.0,32.0,0.0,Ni,2
562,20250N2,108.0,156.0,24.0,0.0,None,0
563,20260N3,368.0,356.0,16.0,0.0,None,0
564,20261N3,400.0,404.0,16.0,0.0,None,0
565,20270C2,36.0,44.0,14.0,0.0,None,0
566,20271C2,42.0,56.0,12.0,0.0,None,0
567,20272C2,36.0,50.0,18.0,0.0,None,0
568,20280N2,120.0,200.0,16.0,0.0,None,0
569,20281N2,160.0,256.0,24.0,0.0,None,0
570,20282N2,160.0,256.0,24.0,0.0,None,0
571,20290N2,64.0,108.0,12.0,0.0,None,0
572,20300N2,54.0,90.0,18.0,6.0,None,0
573,20310N2,0.0,0.0,0.0,0.0,None,0
574,20311N2,0.0,0.0,0.0,0.0,None,0
575,20320N2,0.0,0.0,0.0,0.0,None,0
576,20321N2,0.0,0.0,0.0,0.0,None,0
577,20330N2,0.0,0.0,0.0,0.0,None,0
578,20331N2,0.0,0.0,0.0,0.0,None,0
579,20340N2,0.0,0.0,0.0,0.0,None,0
580,20341N2,0.0,0.0,0.0,0.0,None,0
581,20350N2,0.0,0.0,0.0,0.0,None,0
582,20360N2,0.0,0.0,0.0,0.0,None,0
583,20361N2,0.0,0.0,0.0,0.0,None,0
584,20362N2,0.0,0.0,0.0,0.0,None,0
585,20370N3,0.0,0.0,0.0,0.0,None,0
586,20380N2,0.0,0.0,0.0,0.0,None,0
587,20390N2,0.0,0.0,0.0,0.0,None,0
588,20391N2,0.0,0.0,0.0,0.0,None,0
589,20392N2,0.0,0.0,0.0,0.0,None,0
590,20400N2,0.0,0.0,0.0,0.0,None,0
591,20401N2,0.0,0.0,0.0,0.0,None,0
592,20402N2,0.0,0.0,0.0,0.0,None,0
593,20403N2,0.0,0.0,0.0,0.0,None,0
594,20410N2,0.0,0.0,0.0,0.0,None,0
595,20411N2,0.0,0.0,0.0,0.0,None,0
596,20420N2,0.0,0.0,0.0,0.0,None,0
597,20421N2,0.0,0.0,0.0,0.0,None,0
598,20430N3,0.0,0.0,0.0,0.0,None,0
599,20440N3,0.0,0.0,0.0,0.0,None,0
600,20441N3,0.0,0.0,0.0,0.0,None,0
601,20442N3,0.0,0.0,0.0,0.0,None,0
602,20443N3,0.0,0.0,0.0,0.0,None,0
603,20450N2,0.0,0.0,0.0,0.0,None,0
604,20460N2,0.0,0.0,0.0,0.0,None,0
605,20470N2,0.0,0.0,0.0,0.0,None,0
606,20471N2,0.0,0.0,0.0,0.0,None,0
607,20472N2,0.0,0.0,0.0,0.0,None,0
608,20473N2,0.0,0.0,0.0,0.0,None,0
609,20480N3,0.0,0.0,0.0,0.0,None,0
610,20481N3,0.0,0.0,0.0,0.0,None,0
611,20490N2,0.0,0.0,0.0,0.0,None,0
612,20491N2,0.0,0.0,0.0,0.0,None,0
613,20500N3,0.0,0.0,0.0,0.0,None,0
614,20501N3,0.0,0.0,0.0,0.0,None,0
615,20510N2,0.0,0.0,0.0,0.0,None,0
616,20520N3,0.0,0.0,0.0,0.0,None,0
617,20521N3,0.0,0.0,0.0,0.0,None,0
618,20530N2,120.0,264.0,32.0,48.0,None,0
619,20531N2,144.0,312.0,24.0,48.0,None,0
620,20540N2,84.0,120.0,18.0,12.0,None,0
621,20541N2,60.0,84.0,18.0,12.0,None,0
622,20542N2,108.0,156.0,18.0,12.0,None,0
623,20543N2,132.0,168.0,18.0,12.0,None,0
624,20544N2,120.0,162.0,18.0,12.0,None,0
625,20550N2,0.0,0.0,0.0,0.0,None,0
626,20551N2,0.0,0.0,0.0,0.0,None,0
627,20560N3,0.0,0.0,0.0,0.0,None,0
628,20561N3,0.0,0.0,0.0,0.0,None,0
629,20562N3,0.0,0.0,0.0,0.0,None,0
630,20563N3,0.0,0.0,0.0,0.0,None,0
631,20564N3,0.0,0.0,0.0,0.0,None,0
632,20565N3,0.0,0.0,0.0,0.0,None,0
633,20570N3,0.0,0.0,0.0,0.0,None,0
634,20571N3,0.0,0.0,0.0,0.0,None,0
635,20580N3,0.0,0.0,0.0,0.0,None,0
636,20581N2,0.0,0.0,0.0,0.0,None,0
637,20590N2,0.0,0.0,0.0,0.0,None,0
638,20600N2,0.0,0.0,0.0,0.0,None,0
639,20610N2,0.0,0.0,0.0,0.0,None,0
640,20611N2,0.0,0.0,0.0,0.0,None,0
641,20620N2,0.0,0.0,0.0,0.0,None,0
642,20621N2,0.0,0.0,0.0,0.0,None,0
643,20630N2,0.0,0.0,0.0,0.0,None,0
644,20631N2,0.0,0.0,0.0,0.0,None,0
645,20640N2,0.0,0.0,0.0,0.0,None,0
646,20641N2,0.0,0.0,0.0,0.0,None,0
647,20650N2,0.0,0.0,0.0,0.0,None,0
648,20651N3,0.0,0.0,0.0,0.0,None,0
649,20652N2,0.0,0.0,0.0,0.0,None,0
650,20653N2,0.0,0.0,0.0,0.0,None,0
651,20660N2,0.0,0.0,0.0,0.0,None,0
652,20670N3,0.0,0.0,0.0,0.0,None,0
653,20671N2,0.0,0.0,0.0,0.0,None,0
654,20672N2,0.0,0.0,0.0,0.0,None,0
655,21000N2,0.0,0.0,0.0,0.0,None,0
656,21001N2,0.0,0.0,0.0,0.0,None,0
657,21010N2,0.0,0.0,0.0,0.0,None,0
658,21011N2,0.0,0.0,0.0,0.0,None,0
659,21012N2,0.0,0.0,0.0,0.0,None,0
660,21013N2,0.0,0.0,0.0,0.0,None,0
661,21014N2,0.0,0.0,0.0,0.0,None,0
662,21020N2,0.0,0.0,0.0,0.0,None,0
663,21021N2,0.0,0.0,0.0,0.0,None,0
664,21030N2,0.0,0.0,0.0,0.0,None,0
665,21031N2,0.0,0.0,0.0,0.0,None,0
666,21032N2,0.0,0.0,0.0,0.0,None,0
667,21033N2,0.0,0.0,0.0,0.0,None,0
668,21034N2,0.0,0.0,0.0,0.0,None,0
669,21035N2,0.0,0.0,0.0,0.0,None,0
670,21040N3,0.0,0.0,0.0,0.0,None,0
671,21041N3,0.0,0.0,0.0,0.0,None,0
672,21050N2,0.0,0.0,0.0,0.0,None,0
673,21051N2,0.0,0.0,0.0,0.0,None,0
674,21052N2,0.0,0.0,0.0,0.0,None,0
675,21053N2,0.0,0.0,0.0,0.0,None,0
676,21060N2,0.0,0.0,0.0,0.0,None,0
677,21070N2,0.0,0.0,0.0,0.0,None,0
678,21071N2,0.0,0.0,0.0,0.0,None,0
679,21072N2,0.0,0.0,0.0,0.0,None,0
680,21073N2,0.0,0.0,0.0,0.0,None,0
681,21080N2,0.0,0.0,0.0,0.0,None,0
682,21081N2,0.0,0.0,0.0,0.0,None,0
683,21082N2,0.0,0.0,0.0,0.0,None,0
684,21083N2,0.0,0.0,0.0,0.0,None,0
685,21090N3,0.0,0.0,0.0,0.0,None,0
686,21091N3,0.0,0.0,0.0,0.0,None,0
687,21100N2,0.0,0.0,0.0,0.0,None,0
688,21101N2,0.0,0.0,0.0,0.0,None,0
689,21102N2,0.0,0.0,0.0,0.0,None,0
690,21110N3,0.0,0.0,0.0,0.0,None,0
691,21111N3,0.0,0.0,0.0,0.0,None,0
692,21120N2,0.0,0.0,0.0,0.0,None,0
693,21130N2,0.0,0.0,0.0,0.0,None,0
694,21131N2,0.0,0.0,0.0,0.0,None,0
695,21140N2,0.0,0.0,0.0,0.0,None,0
696,21150N2,0.0,0.0,0.0,0.0,None,0
697,21170N2,0.0,0.0,0.0,0.0,None,0
698,21180N2,0.0,0.0,0.0,0.0,None,0
699,21181N2,0.0,0.0,0.0,0.0,None,0
700,21182N2,0.0,0.0,0.0,0.0,None,0
701,21190N2,0.0,0.0,0.0,0.0,None,0
702,21191N2,0.0,0.0,0.0,0.0,None,0
703,21192N2,0.0,0.0,0.0,0.0,None,0
704,21200N2,0.0,0.0,0.0,0.0,None,0
705,21201N2,0.0,0.0,0.0,0.0,None,0
706,21210N2,0.0,0.0,0.0,0.0,None,0
707,21220N2,0.0,0.0,0.0,0.0,None,0
708,21230N2,0.0,0.0,0.0,0.0,None,0
709,21240C2,0.0,0.0,0.0,0.0,None,0
710,21241C2,0.0,0.0,0.0,0.0,None,0
711,21242C2,0.0,0.0,0.0,0.0,None,0
712,21250N2,0.0,0.0,0.0,0.0,None,0
713,21251N2,0.0,0.0,0.0,0.0,None,0
714,21260N2,0.0,0.0,0.0,0.0,None,0
715,21270N3,0.0,0.0,0.0,0.0,None,0
716,21271N3,0.0,0.0,0.0,0.0,None,0
717,21280N3,0.0,0.0,0.0,0.0,None,0
718,21290N2,0.0,0.0,0.0,0.0,None,0
719,21291N3,0.0,0.0,0.0,0.0,None,0
720,21300C3,0.0,0.0,0.0,0.0,None,0
721,21310N2,0.0,0.0,0.0,0.0,None,0
722,21311N3,0.0,0.0,0.0,0.0,None,0
723,21312N2,0.0,0.0,0.0,0.0,None,0
724,21313N3,0.0,0.0,0.0,0.0,None,0
725,21314N2,0.0,0.0,0.0,0.0,None,0
726,21315N3,0.0,0.0,0.0,0.0,None,0
727,21320N2,0.0,0.0,0.0,0.0,None,0
728,21330N2,84.0,132.0,24.0,12.0,None,0
729,21331N2,96.0,156.0,24.0,12.0,None,0
730,21340N2,120.0,180.0,12.0,0.0,None,0
731,21350N2,8.0,88.0,32.0,0.0,Zn,4
732,21351N2,40.0,152.0,32.0,0.0,Zn,4
733,21352N2,32.0,176.0,32.0,0.0,Zn,4
734,21353N2,0.0,144.0,64.0,0.0,Zn,4
735,21354N2,0.0,144.0,64.0,0.0,None,0
736,21360N2,254.0,240.0,72.0,24.0,None,0
737,21370N2,24.0,36.0,12.0,12.0,None,0
738,21371N2,24.0,36.0,12.0,0.0,None,0
739,21380N2,54.0,90.0,6.0,0.0,None,0
740,21381N2,48.0,84.0,12.0,0.0,None,0
741,21382N2,48.0,78.0,8.0,0.0,None,0
742,21390N2,80.0,114.0,12.0,12.0,None,0
743,21391N2,132.0,168.0,24.0,24.0,None,0
744,21392N2,120.0,168.0,24.0,24.0,None,0
745,21393N2,156.0,180.0,24.0,24.0,None,0
746,21394N2,156.0,180.0,24.0,36.0,None,0
747,21395N2,120.0,168.0,24.0,36.0,None,0
748,21400N2,120.0,168.0,12.0,0.0,None,0
749,21410N2,324.0,336.0,28.0,24.0,None,0
750,21411N2,336.0,360.0,24.0,24.0,None,0
751,21420N2,104.0,160.0,24.0,0.0,None,0
752,21421N2,136.0,208.0,24.0,0.0,None,0
753,21422N2,168.0,224.0,24.0,0.0,None,0
754,21423N2,168.0,224.0,24.0,16.0,None,0
755,21424N2,168.0,256.0,24.0,0.0,None,0
756,21425N2,0.0,0.0,0.0,0.0,None,0
757,21426N3,34.0,53.0,6.0,0.0,None,0
758,21430N2,108.0,174.0,18.0,42.0,None,0
759,21440N2,180.0,240.0,12.0,0.0,None,0
760,21450N2,70.0,168.0,12.0,24.0,None,0
761,21451N2,72.0,168.0,12.0,12.0,None,0
762,21460N2,120.0,156.0,12.0,24.0,None,0
763,21470N2,208.0,320.0,16.0,0.0,None,0
764,21480N2,96.0,138.0,24.0,24.0,None,0
765,21481N2,96.0,156.0,24.0,24.0,None,0
766,21490N2,360.0,512.0,64.0,16.0,None,0
767,21510N3,156.0,170.0,16.0,8.0,None,0
768,21511N3,180.0,188.0,16.0,8.0,None,0
769,21520N3,40.0,74.0,0.0,8.0,None,0
770,21530N2,132.0,184.0,16.0,12.0,None,0
771,21531N2,128.0,184.0,16.0,12.0,Co,2
772,21540N3,192.0,248.0,16.0,0.0,None,0
773,21550N3,0.0,84.0,4.0,0.0,None,0
774,21551N3,0.0,0.0,0.0,0.0,None,0
775,21560N3,112.0,240.0,16.0,0.0,None,0
776,21570N3,320.0,480.0,32.0,0.0,None,0
777,21571N3,384.0,576.0,32.0,0.0,None,0
778,21572N3,92.0,168.0,8.0,0.0,None,0
779,21600N2,84.0,144.0,24.0,0.0,None,0
780,21601N2,96.0,156.0,24.0,0.0,None,0
781,21620N2,96.0,120.0,12.0,0.0,None,0
782,21630N2,72.0,108.0,12.0,12.0,None,0
783,21631N2,72.0,108.0,24.0,12.0,None,0
784,21632N2,60.0,120.0,12.0,24.0,None,0
785,21633N2,42.0,66.0,6.0,6.0,None,0
786,21640N3,174.0,138.0,12.0,36.0,None,0
787,21650N2,16.0,128.0,32.0,16.0,Cu,4
788,21651N2,32.0,160.0,32.0,16.0,Cu,4
789,21660N2,24.0,60.0,12.0,0.0,None,0
790,21661N2,42.0,84.0,14.0,0.0,None,0
791,21670N2,12.0,84.0,48.0,24.0,None,0
792,21680N2,96.0,152.0,8.0,0.0,None,0
793,21690N2,868.0,1244.0,216.0,108.0,None,0
794,21691N2,1492.0,1504.0,268.0,108.0,None,0
795,21700N2,248.0,340.0,48.0,0.0,None,0
796,21710N2,60.0,84.0,24.0,12.0,None,0
797,21711N2,84.0,96.0,24.0,12.0,None,0
798,21712N2,108.0,132.0,24.0,12.0,None,0
799,21720N2,48.0,116.0,12.0,12.0,None,0
800,21730N3,324.0,612.0,36.0,72.0,None,0
801,22000N2,48.0,144.0,12.0,0.0,None,0
802,22001N2,648.0,648.0,36.0,0.0,None,0
803,22002N2,612.0,648.0,36.0,0.0,None,0
804,22010N2,180.0,132.0,24.0,24.0,None,0
805,22020N2,396.0,486.0,36.0,36.0,None,0
806,22021N2,468.0,522.0,36.0,36.0,None,0
807,22030N2,32.0,128.0,48.0,0.0,Co,2
808,22031N2,32.0,128.0,48.0,0.0,Cu,4
809,22040N2,240.0,384.0,24.0,0.0,None,0
810,22041N2,128.0,256.0,16.0,0.0,None,0
