Number,Name,PLD,LCD,VSA,Density,VF,H,C,N,O,Metal,Metal_count,Number_group
33,12010N2,18.35805,18.71848,1104.88,0.626105,0.6898,240.0,448.0,32.0,64.0,0,0,32
34,12011N2,18.36705,18.72706,1100.33,0.668765,0.6894,224.0,448.0,32.0,64.0,5,8,32
35,12012N2,18.34894,18.712,1105.92,0.667524,0.6872,224.0,448.0,32.0,64.0,2,8,32
36,12020N2,18.25823,18.52902,1100.33,0.780161,0.6654,48.0,128.0,16.0,16.0,5,2,0
37,12022N2,26.564,26.75925,1021.11,0.545355,0.762,48.0,128.0,16.0,16.0,5,2,8
38,12023N2,26.96927,27.1624,911.887,0.610087,0.7472,64.0,168.0,24.0,32.0,5,2,8
39,12024N2,32.07521,32.24029,919.874,0.429733,0.8002,64.0,152.0,16.0,16.0,5,2,12
40,12030N2,19.13887,19.38979,1120.15,0.654918,0.714,36.0,108.0,12.0,24.0,0,0,0
41,12040N2,18.67205,18.83659,1110.43,0.719774,0.6526,72.0,120.0,0.0,24.0,0,0,6
42,12050N2,8.981,9.50439,1148.13,0.903296,0.502,36.0,48.0,6.0,0.0,0,0,6
43,12051N2,2.87134,3.95724,0.0,0.893187,0.5082,36.0,48.0,6.0,0.0,0,0,6
44,12060N2,16.6418,16.97751,1142.88,0.777322,0.6656,128.0,352.0,64.0,64.0,5,8,16
45,12061N2,16.6418,16.97751,1142.88,0.775717,0.6656,128.0,352.0,64.0,64.0,2,8,16
46,12062N2,16.6418,16.97751,1142.88,0.771703,0.6632,128.0,352.0,64.0,64.0,1,8,16
47,13000N2,7.08936,7.65128,798.46,1.59194,0.4236,0.0,48.0,12.0,0.0,0,0,0
48,13010N2,30.44075,30.61493,832.378,0.58509,0.7216,96.0,204.0,0.0,24.0,0,0,6
49,13011N2,37.29623,37.4441,766.926,0.497001,0.7632,120.0,264.0,0.0,24.0,0,0,0
50,13012N2,40.01714,40.15467,745.002,0.450916,0.7808,120.0,240.0,0.0,24.0,0,0,12
51,13020N2,27.93603,28.38023,1153.67,0.2551,0.8722,56.0,116.0,0.0,24.0,0,0,6
52,13030N2,1.30303,2.61808,0.0,1.66978,0.2566,6.0,18.0,6.0,0.0,0,0,0
53,13040N3,8.28728,8.45219,1445.86,0.70169,0.6226,144.0,212.0,16.0,0.0,0,0,32
54,13050N2,21.99941,22.25156,1108.12,0.614558,0.7328,60.0,120.0,12.0,24.0,0,0,0
55,13051N2,15.82205,16.14031,1205.66,0.705665,0.6664,48.0,72.0,12.0,12.0,0,0,6
56,13060N2,12.50547,13.01888,1328.21,0.618866,0.6748,104.0,176.0,16.0,0.0,0,0,16
57,13070N2,21.48075,21.71779,1079.62,0.626797,0.7082,60.0,108.0,24.0,36.0,0,0,0
58,13071N2,21.57151,21.64442,1035.94,0.653124,0.6832,96.0,120.0,12.0,12.0,0,0,0
59,13072N2,22.0541,22.20649,1080.85,0.595993,0.728,84.0,108.0,24.0,12.0,0,0,0
60,13073N2,21.15097,21.41233,1089.31,0.708258,0.6996,60.0,108.0,24.0,36.0,0,0,0
61,13074N2,19.92909,20.26056,1231.28,0.545583,0.7356,96.0,120.0,12.0,24.0,0,0,0
62,13075N2,15.27988,15.59333,1177.84,0.82531,0.64,36.0,72.0,12.0,12.0,0,0,0
63,13076N2,14.60213,14.90134,1155.15,1.01852,0.5878,24.0,72.0,12.0,12.0,0,0,0
64,13077N2,11.09827,11.4484,1272.97,0.960862,0.5898,42.0,72.0,18.0,24.0,0,0,0
65,13078N2,12.16293,12.50908,1313.81,0.939852,0.6012,48.0,72.0,12.0,30.0,0,0,0
66,13080N2,20.1802,20.43722,1116.54,0.650962,0.6644,60.0,168.0,24.0,0.0,0,0,0
67,13090N2,26.12562,26.31246,970.465,0.575112,0.7582,36.0,108.0,0.0,24.0,0,0,0
68,13100N2,20.79435,21.19983,1352.76,0.324166,0.8298,136.0,224.0,16.0,0.0,0,0,24
69,13101N2,9.40655,11.08993,2289.42,0.340148,0.8196,136.0,224.0,16.0,0.0,0,0,24
70,13110N2,11.30363,12.905,2230.95,0.537289,0.764,112.0,208.0,32.0,16.0,2,4,16
71,13120N2,13.41737,13.74602,1304.05,0.630497,0.6958,48.0,78.0,8.0,0.0,0,0,12
72,13121N2,21.38819,21.50268,1118.18,0.477811,0.76,144.0,228.0,16.0,0.0,0,0,36
73,13122N2,27.70121,27.83853,971.717,0.402122,0.795,102.0,156.0,2.0,0.0,0,0,24
74,13123N2,17.49977,17.88597,1180.53,0.584938,0.7152,60.0,114.0,20.0,0.0,0,0,12
75,13130N2,43.78181,43.9063,719.723,0.375995,0.8242,96.0,228.0,12.0,48.0,0,0,12
76,13140N2,7.57492,8.1834,1210.62,1.05262,0.5194,12.0,24.0,0.0,12.0,0,0,0
77,13141N2,14.57188,14.91096,1210.94,0.765949,0.636,24.0,48.0,0.0,12.0,0,0,0
78,13142N2,12.36425,12.71089,1167.92,0.917041,0.5954,12.0,36.0,0.0,12.0,0,0,0
79,13150N2,22.64663,22.85845,1051.65,0.594918,0.715,72.0,108.0,12.0,12.0,0,0,12
80,13160N2,19.04963,20.10144,1880.09,0.357515,0.8362,144.0,240.0,32.0,0.0,2,4,24
81,13161N2,17.92977,19.0418,1984.09,0.398037,0.83,112.0,240.0,32.0,0.0,2,4,16
82,13170N2,24.69244,25.51802,1817.89,0.309017,0.8588,100.0,192.0,32.0,16.0,0,0,8
83,13180N3,4.11429,5.37236,1257.35,1.0494,0.5106,32.0,50.0,8.0,8.0,0,0,8
84,13181N3,4.18956,5.27018,1377.22,0.978324,0.5508,32.0,48.0,8.0,8.0,0,0,8
85,13182N3,5.43904,6.14398,1172.86,1.05108,0.498,56.0,68.0,8.0,8.0,0,0,8
86,13190N2,11.74811,11.95992,1052.12,0.880317,0.5514,120.0,144.0,12.0,12.0,0,0,6
87,13191N2,19.89478,20.27141,1131.84,0.602487,0.694,144.0,180.0,12.0,12.0,0,0,12
88,14000N2,11.13457,11.56182,1458.1,0.68102,0.6438,24.0,36.0,12.0,0.0,0,0,0
89,14010N2,14.30169,14.5452,1340.36,0.628561,0.6948,84.0,148.0,8.0,0.0,0,0,16
90,14020N2,25.30476,25.68704,1306.84,0.509823,0.753,168.0,252.0,24.0,0.0,0,0,36
91,14030N2,41.07732,41.24391,760.11,0.385723,0.8058,144.0,264.0,24.0,24.0,0,0,12
92,14031N2,19.92386,20.1365,1423.91,0.451,0.7776,144.0,264.0,24.0,24.0,0,0,12
93,14040N2,34.23857,34.3671,872.794,0.391468,0.7952,144.0,180.0,24.0,24.0,0,0,12
94,14050N3,8.62197,13.26023,2092.64,0.394807,0.7944,60.0,78.0,0.0,0.0,0,0,0
95,14051N3,7.58301,13.27592,2087.41,0.470513,0.781,60.0,66.0,12.0,12.0,0,0,0
96,14060N2,18.12092,18.55947,1500.67,0.413466,0.7872,56.0,92.0,8.0,0.0,0,0,12
97,14070N2,23.15638,23.47129,1114.31,0.467273,0.7696,152.0,256.0,32.0,0.0,0,0,16
98,14071N2,22.66777,22.92074,1118.39,0.471385,0.7686,152.0,256.0,32.0,0.0,0,0,16
99,14072N2,20.98216,21.4664,1506.41,0.312968,0.8434,136.0,224.0,16.0,16.0,0,0,16
100,14073N2,19.93614,20.23652,1583.76,0.312968,0.854,136.0,224.0,16.0,16.0,0,0,16
101,14080N2,34.30932,34.47645,872.734,0.400887,0.8092,72.0,144.0,12.0,24.0,0,0,12
102,14090N2,25.47826,25.67443,1047.9,0.555688,0.756,72.0,108.0,24.0,12.0,0,0,12
103,14091N2,22.2758,22.52384,1137.41,0.554271,0.7332,76.0,120.0,12.0,12.0,0,0,12
104,14100N2,16.83337,17.12286,1294.31,0.521556,0.7086,48.0,72.0,12.0,0.0,0,0,6
105,15000N2,2.57163,3.56044,0.0,1.78335,0.2902,0.0,24.0,12.0,0.0,0,0,0
106,15010N2,19.1781,19.54624,1230.46,0.502473,0.7514,84.0,144.0,8.0,0.0,0,0,8
107,15020N2,23.07162,23.97144,1785.95,0.288664,0.8592,168.0,256.0,48.0,16.0,0,0,24
108,15021N2,21.57937,22.4952,1834.81,0.30371,0.8596,68.0,120.0,24.0,16.0,0,0,8
109,15030N2,18.38514,18.68522,1162.92,0.581115,0.7082,60.0,90.0,6.0,6.0,0,0,12
110,15031N2,24.58827,24.82664,1007.32,0.454279,0.777,72.0,126.0,6.0,12.0,0,0,12
111,15040N2,12.16224,12.30214,1315.74,0.758374,0.608,42.0,66.0,6.0,0.0,0,0,6
112,15050N2,9.89857,10.36567,1285.33,0.905532,0.6102,24.0,36.0,12.0,12.0,0,0,0
113,15060N2,14.43667,14.78901,1373.54,0.634104,0.6726,120.0,180.0,36.0,0.0,0,0,12
114,15061N2,16.83791,17.15189,1385.26,0.533999,0.7184,120.0,204.0,36.0,0.0,0,0,12
115,15070N2,29.1214,29.30552,919.976,0.430698,0.7838,96.0,144.0,12.0,12.0,0,0,12
116,15071N2,29.44973,29.61979,953.749,0.418586,0.7898,96.0,144.0,12.0,12.0,0,0,12
117,15072N2,17.39082,18.47163,1981.37,0.351193,0.8314,80.0,120.0,16.0,8.0,0,0,8
118,15080N2,9.25289,11.01506,2496.11,0.416852,0.7944,92.0,128.0,8.0,24.0,0,0,10
119,15081N2,17.48587,18.54616,1977.03,0.349547,0.834,152.0,240.0,32.0,16.0,0,0,16
120,15090N2,18.19731,19.24813,1982.91,0.351937,0.8284,152.0,240.0,32.0,16.0,0,0,16
121,15091N2,16.41473,17.5939,2097.17,0.375894,0.8132,192.0,256.0,32.0,16.0,0,0,16
122,15100N2,36.15712,36.31333,851.492,0.392046,0.8228,84.0,168.0,24.0,24.0,0,0,12
123,15101N2,21.92551,22.16326,1069.36,0.681698,0.7172,36.0,96.0,24.0,36.0,0,0,0
124,15110N2,29.11054,29.29451,957.222,0.480027,0.7648,48.0,132.0,0.0,24.0,0,0,6
125,15111N2,32.10371,32.25806,832.146,0.588294,0.727,96.0,228.0,0.0,24.0,0,0,6
126,15120N2,43.14098,43.26834,807.617,0.323453,0.8482,114.0,174.0,30.0,12.0,0,0,24
127,15130N2,29.18172,29.36548,946.73,0.478265,0.7698,48.0,132.0,0.0,24.0,0,0,6
128,15131N2,34.20786,34.37058,856.488,0.399337,0.8052,48.0,156.0,0.0,24.0,0,0,6
129,15140N2,32.11457,32.2827,887.494,0.363533,0.798,108.0,144.0,12.0,0.0,0,0,18
130,15150N2,14.44901,15.66522,2181.19,0.388869,0.8086,160.0,272.0,32.0,16.0,0,0,16
131,15160N2,6.49041,7.45342,773.549,0.980348,0.4896,114.0,102.0,6.0,6.0,0,0,0
132,15161N2,15.35482,15.85081,1125.63,0.612989,0.6706,138.0,138.0,6.0,0.0,0,0,6
133,15162N2,11.57319,12.01319,1293.02,0.770248,0.6324,42.0,66.0,6.0,6.0,0,0,6
134,15163N2,18.99947,19.28672,1139.98,0.538076,0.7208,66.0,102.0,6.0,0.0,0,0,12
135,15170N2,10.55954,10.81126,1295.61,0.806596,0.5862,108.0,204.0,12.0,0.0,0,0,18
136,15171N2,5.77254,7.56527,1855.04,0.676902,0.6468,84.0,132.0,12.0,0.0,0,0,18
137,15180N2,27.15264,27.37273,927.877,0.562421,0.771,64.0,168.0,24.0,32.0,2,2,8
138,15181N2,31.79613,31.97817,858.018,0.520358,0.7752,80.0,208.0,24.0,32.0,2,2,8
139,15182N2,28.45106,28.61691,927.388,0.546974,0.7716,56.0,152.0,24.0,32.0,2,2,8
140,15183N2,27.15264,27.37273,927.877,0.560685,0.7708,64.0,168.0,24.0,32.0,3,2,8
141,15184N2,31.79613,31.97817,858.018,0.518971,0.7748,80.0,208.0,24.0,32.0,3,2,8
142,15185N2,28.45106,28.61691,927.388,0.54517,0.7712,56.0,152.0,24.0,32.0,3,2,8
143,15186N2,44.50279,44.62581,713.105,0.363876,0.8386,84.0,204.0,12.0,48.0,0,0,12
144,15190N2,9.89857,10.36567,1451.67,0.89212,0.6106,12.0,36.0,12.0,12.0,0,0,0
145,15200N3,7.60329,8.20958,2762.23,0.55678,0.7584,32.0,60.0,8.0,16.0,0,0,0
146,15201N3,22.37925,26.5708,815.487,0.128813,0.9452,40.0,90.0,8.0,16.0,0,0,8
